Locality,Interior_SqFt,Distance_To_Main_Road,Num_Bedrooms,Num_Bathrooms,Total_Rooms,Sale_Condition,Parking_Facility,Building_Type,Utilities_Available,Street_Type,Zoning_Type,Quality_Score_Rooms,Quality_Score_Bathroom,Quality_Score_Bedroom,Quality_Score_Overall,Registration_Fee,Commission,Sale_Price,Sale_Year,Build_Year,Building_Age
KK Nagar,1997,135,3,2,5,Family,Yes,Others,AllPub,Paved,RM,4,4,2,3,488967,205881,12867540,2009,1999,10
Anna Nagar,1933,118,2,1,5,AdjLand,Yes,Commercial,AllPub,Gravel,RH,4,2,4,3,741521,130857,21809430,2013,1974,39
Velachery,1953,165,3,2,5,AdjLand,Yes,Commercial,NoSeWa,Gravel,C,5,3,2,3,527849,247429,16495290,2007,1995,12
Chrompet,913,108,1,1,3,Ab Normal,Yes,Commercial,NoSeWa,No Access,RM,4,2,3,3,393442,98360,12295050,2011,1992,19
Chrompet,1060,44,1,1,3,Family,No,Commercial,NoSeWa,No Access,RH,3,3,3,3,346987,32530,10843350,2012,1979,33
KK Nagar,1601,133,2,1,4,Family,Yes,Others,NoSeWa,Paved,RH,3,5,3,3,500480,220211,10009600,2009,1990,19
Anna Nagar,1703,45,1,1,4,AdjLand,Yes,Commercial,NoSeWa,Gravel,RM,4,4,4,4,689438,301629,21544930,2014,1995,19
T Nagar,1812,129,2,1,5,Ab Normal,Yes,Others,NoSeWa,Paved,RL,4,4,4,4,497676,117100,14637520,2007,1979,28
Karapakkam,1145,145,1,1,3,Ab Normal,Yes,Commercial,NoSeWa,No Access,I,4,4,2,3,453520,92555,9255500,2010,1996,14
T Nagar,1678,39,1,1,4,AdjLand,Yes,House,NoSeWa,No Access,RH,2,3,2,2,473939,59242,11848470,2015,1989,26
Chrompet,1262,139,2,1,4,Normal Sale,Yes,Others,AllPub,Gravel,RM,4,2,2,3,314046,48315,12078690,2012,1987,25
Chrompet,1138,36,1,1,3,Ab Normal,No,Commercial,AllPub,Gravel,RM,3,2,3,3,446859,72074,14414800,2008,2000,8
Anna Nagar,1943,172,2,1,5,AdjLand,Yes,Commercial,AllPub,No Access,RM,2,4,3,3,628877,404278,22459910,2008,1995,13
Karapakkam,1277,190,1,1,3,Family,No,Commercial,AllPub,Paved,RL,2,2,2,2,455273,84702,10587750,2009,1992,17
Anna Nagar,1639,80,1,1,4,Normal Sale,Yes,House,AllPub,No Access,RH,3,4,3,3,362663,203998,11333220,2008,1992,16
T Nagar,1580,35,1,1,4,AdjLand,No,Commercial,NoSeWa,Paved,RM,2,3,5,4,694318,154293,19286610,2013,2005,8
T Nagar,1900,113,2,1,5,Family,Yes,Commercial,NoSeWa,Gravel,RL,4,2,3,3,887450,266235,22186250,2012,1997,15
Karapakkam,698,110,1,1,2,Normal Sale,Yes,House,AllPub,No Access,A,3,2,4,3,103928,42221,3247750,2011,1966,45
Chrompet,1033,49,1,1,3,Family,No,House,NoSeWa,Gravel,RH,3,4,4,4,259560,48668,8111250,2007,1992,15
KK Nagar,1969,150,3,2,5,Normal Sale,No,Commercial,NoSeWa,Gravel,RM,3,3,3,3,557356,320902,16889580,2012,2003,9
Anna Nagar,1847,30,2,1,5,Ab Normal,Yes,Others,AllPub,Paved,RM,2,3,4,3,614262,261061,15356550,2006,1994,12
Velachery,1563,179,2,1,4,Family,No,House,AllPub,No Access,C,3,2,4,3,243484,115655,6087100,2008,1973,35
Anna Nagar,1756,24,1,1,4,Partial,No,Others,NoSeWa,Gravel,RM,4,2,4,3,425381,170152,14179360,2014,2000,14
Anna Nagar,1698,9,1,1,4,Ab Normal,No,Others,AllPub,Paved,RM,2,2,2,2,522633,110028,13753510,2011,2000,11
Anna Nagar,1689,29,1,1,4,AdjLand,No,Commercial,NoSeWa,No Access,RL,3,4,4,4,650601,167297,18588600,2010,1980,30
Anna Nagar,1680,61,1,1,4,Family,No,Others,AllPub,Gravel,RL,3,3,3,3,387645,173772,13367060,2007,1989,18
Chrompet,1170,184,1,1,3,Partial,No,Others,NoSeWa,Gravel,RH,3,4,4,3,294909,107240,8936650,2008,1983,25
Karapakkam,1030,152,1,1,3,Partial,No,Others,AllPub,Paved,I,4,3,2,3,210771,56548,5140750,2009,1967,42
Karapakkam,1338,69,2,2,4,AdjLand,No,Others,AllPub,No Access,I,4,2,4,3,325632,115328,6784000,2011,1988,23
Adyar,1217,125,2,2,4,AdjLand,No,Commercial,NoSeWa,Gravel,RL,3,4,2,2,596351,119270,14908785,2008,1969,39
KK Nagar,1984,6,3,2,5,Ab Normal,Yes,Others,AllPub,Gravel,RM,2,4,3,3,600245,160065,13338780,2009,1994,15
KK Nagar,2322,40,4,2,6,Family,No,Commercial,AllPub,Gravel,RH,4,2,2,3,640454,266856,17790400,2009,1999,10
Anna Nagar,1691,145,1,1,4,AdjLand,No,House,NoSeWa,Paved,RH,3,3,3,3,414937,59277,11855350,2007,2002,5
Anna Nagar,1689,0,1,1,4,Normal Sale,Yes,Others,AllPub,Gravel,RM,2,3,2,2,389833,89961,14993570,2015,1990,25
Anna Nagar,1703,167,1,1,4,Family,Yes,Others,AllPub,No Access,RH,3,2,2,2,397321,223493,12416270,2014,2000,14
Velachery,1828,142,3,2,5,Family,Yes,Others,AllPub,No Access,A,4,2,4,3,298084,93684,8516690,2004,1982,22
Velachery,1545,65,2,1,4,Partial,No,Others,AllPub,No Access,A,3,2,4,3,188318,78972,6074780,2009,1980,29
Karapakkam,1686,15,2,2,4,Partial,Yes,Commercial,AllPub,No Access,A,4,4,3,3,388815,168136,10508500,2011,1981,30
Chrompet,1136,39,1,1,3,Ab Normal,No,Others,AllPub,No Access,RL,2,3,4,3,246465,123232,8802320,2010,1990,20
Velachery,1997,7,3,2,5,Family,No,Others,AllPub,Paved,A,3,2,2,2,327267,142655,8391470,2011,1960,51
Adyar,878,103,1,1,3,AdjLand,No,Others,AllPub,No Access,RM,2,3,2,2,291605,51460,8576620,2011,1983,28
Chrompet,1057,145,1,1,3,Partial,Yes,Commercial,NoSeWa,Gravel,RL,4,4,4,4,341480,177570,13659200,2008,1984,24
Karapakkam,521,51,1,1,2,Partial,No,Others,AllPub,No Access,A,4,4,2,3,71177,25883,2156875,2009,1985,24
Karapakkam,1457,42,2,2,4,Partial,Yes,House,NoSeWa,Paved,RH,4,3,3,3,248272,186204,7758500,2009,1973,36
Adyar,1021,42,1,1,3,Normal Sale,Yes,Commercial,AllPub,Paved,RM,4,4,3,4,456993,128529,14281030,2007,1985,22
Velachery,1519,2,2,1,4,Partial,Yes,Commercial,NoSeWa,Paved,RH,2,2,2,2,456776,104406,13050750,2005,1960,45
Adyar,724,126,1,1,2,Ab Normal,Yes,Others,NoSeWa,Paved,A,2,2,2,2,200785,81569,6274535,2010,2001,9
KK Nagar,2004,171,3,2,5,Ab Normal,Yes,Commercial,NoSeWa,Paved,RM,4,3,4,4,521968,156590,17398940,2010,1983,27
Chrompet,734,136,1,1,2,Family,No,Others,AllPub,No Access,RL,2,2,4,3,194195,32366,6473180,2012,1972,40
T Nagar,1770,176,1,1,4,Normal Sale,Yes,House,AllPub,Paved,RM,3,2,4,3,360820,138777,13877710,2011,1998,13
Chrompet,814,194,1,1,3,Normal Sale,No,House,NoSeWa,Paved,RM,3,4,3,3,211424,105712,8131700,2012,1994,18
KK Nagar,1486,53,2,1,4,Ab Normal,Yes,Commercial,AllPub,Gravel,RL,2,3,4,3,518331,359952,14398080,2012,1988,24
Chrompet,1215,184,2,1,4,AdjLand,No,House,NoSeWa,Paved,RL,2,4,4,3,279216,130301,9307200,2007,1987,20
Adyar,973,4,1,1,3,Partial,No,Commercial,AllPub,No Access,RH,4,2,4,4,393869,109408,10940805,2010,2003,7
Chrompet,869,200,1,1,3,Ab Normal,Yes,Others,AllPub,Paved,RL,3,4,4,4,271854,56246,9374280,2009,1992,17
Karapakkam,640,37,1,1,2,Partial,Yes,Others,AllPub,Gravel,C,3,2,3,2,233940,107223,4873750,2010,1969,41
Chrompet,969,60,1,1,3,AdjLand,No,Commercial,NoSeWa,Gravel,RL,4,2,2,2,372378,111713,12412600,2007,1983,24
KK Nagar,1609,191,2,1,4,Family,No,House,NoSeWa,Paved,RL,2,4,4,3,362914,207379,8640800,2009,1979,30
KK Nagar,1689,44,2,1,4,Normal Sale,Yes,House,AllPub,Paved,RM,4,3,4,4,380206,234833,11182520,2011,1995,16
KK Nagar,1917,113,3,2,5,Partial,No,Others,NoSeWa,Gravel,RM,3,4,2,3,545003,284350,11847900,2008,2000,8
Chrompet,1178,90,1,1,3,Family,Yes,Others,NoSeWa,Paved,RL,4,3,3,3,340847,42606,10651460,2013,2005,8
Velachery,1530,69,2,1,4,Partial,No,Commercial,AllPub,Paved,A,2,2,4,3,360319,141944,10918760,2010,1982,28
Velachery,1622,66,2,1,4,Family,Yes,Others,NoSeWa,Gravel,I,4,4,3,4,387294,101920,10191950,2006,1981,25
Adyar,1013,153,1,1,3,Ab Normal,Yes,Others,NoSeWa,Paved,RM,4,3,3,3,410912,86508,10813485,2011,1992,19
Chrompet,1244,68,2,1,4,Family,Yes,Commercial,NoSeWa,No Access,RM,3,3,2,3,426409,249964,14703750,2006,1981,25
Velachery,1840,52,3,2,5,Partial,No,Others,NoSeWa,No Access,I,2,2,2,2,255539,98918,8243200,2011,1976,35
T Nagar,1930,13,2,1,5,Normal Sale,No,House,AllPub,No Access,RL,2,2,3,2,351818,58636,11727250,2009,1964,45
Velachery,1942,91,3,2,5,AdjLand,No,House,AllPub,No Access,I,4,3,4,3,267152,133576,8905050,2009,1984,25
Velachery,1722,108,2,1,4,Partial,Yes,Others,AllPub,Gravel,RM,4,4,3,4,378092,171860,11457330,2004,1956,48
Adyar,1182,187,1,1,3,Ab Normal,Yes,Commercial,NoSeWa,Paved,RM,4,2,2,3,507838,153890,15389035,2006,1977,29
Adyar,1246,44,2,2,4,Ab Normal,Yes,Commercial,NoSeWa,Paved,I,2,3,4,3,460602,43181,14393810,2009,1995,14
Chrompet,925,93,1,1,3,Partial,Yes,House,NoSeWa,Paved,RL,3,2,4,3,270464,25356,8452000,2014,1994,20
Karapakkam,1434,166,2,2,4,Family,No,House,AllPub,Paved,RH,2,2,4,3,253251,84417,7034750,2011,1974,37
Chrompet,1081,115,1,1,3,Family,No,House,NoSeWa,Gravel,RM,2,4,2,3,268332,71555,8944400,2009,1969,40
Chrompet,794,148,1,1,2,Normal Sale,Yes,Others,AllPub,No Access,RM,3,2,2,2,252982,61065,8723530,2014,1989,25
Adyar,685,83,1,1,2,Partial,No,Others,NoSeWa,Paved,I,2,3,2,2,206943,42606,6086550,2012,2002,10
KK Nagar,2025,3,3,2,5,AdjLand,No,Commercial,NoSeWa,Gravel,RM,4,3,2,3,688161,282323,17645160,2011,2003,8
Velachery,1581,161,2,1,4,Ab Normal,Yes,Others,NoSeWa,Paved,A,3,5,3,4,314148,66136,8267060,2009,1971,38
KK Nagar,1731,191,2,1,4,Normal Sale,No,House,NoSeWa,Gravel,RM,3,3,2,2,451275,102563,10256260,2008,1985,23
Karapakkam,1243,51,1,1,3,Ab Normal,Yes,Commercial,NoSeWa,No Access,I,4,3,3,3,468587,219949,9563000,2009,1985,24
Chrompet,1184,197,1,1,3,AdjLand,Yes,House,AllPub,Gravel,RH,4,4,5,4,317773,59582,9930400,2008,1968,40
Velachery,1704,66,2,1,4,AdjLand,No,House,AllPub,Paved,C,3,4,2,3,257781,156231,7811540,2007,1980,27
Adyar,961,178,1,1,3,Family,Yes,Others,AllPub,No Access,I,4,4,2,3,281211,85926,7811430,2007,1985,22
Karapakkam,610,108,1,1,2,Normal Sale,No,Commercial,NoSeWa,No Access,I,2,3,3,3,191979,117321,5332750,2011,1990,21
Adyar,640,77,1,1,2,Partial,No,Commercial,AllPub,No Access,A,2,4,4,3,212712,51566,6445810,2009,1995,14
Karapakkam,1650,140,2,2,4,AdjLand,No,Commercial,AllPub,Gravel,C,2,2,4,3,392488,207788,11543750,2010,1997,13
Adyar,734,134,1,1,2,Family,No,Others,AllPub,Gravel,A,4,4,4,4,199803,27750,5550090,2010,1984,26
Chrompet,717,171,1,1,2,Ab Normal,Yes,Commercial,NoSeWa,No Access,RH,4,2,4,3,240168,115280,9606700,2011,1997,14
Karapakkam,1419,185,2,2,4,Partial,No,House,AllPub,Paved,RM,2,4,4,3,322516,94395,7866250,2009,1976,33
KK Nagar,2055,158,3,2,5,Normal Sale,Yes,House,NoSeWa,Paved,RL,4,3,2,3,348127,220480,11604220,2010,1999,11
Chrompet,1010,23,1,1,3,Partial,Yes,Others,AllPub,No Access,RL,2,2,2,2,272116,149225,8777950,2007,1980,27
Chrompet,1011,14,1,1,3,Normal Sale,No,Commercial,NoSeWa,Paved,RH,3,2,2,2,281296,146274,11251850,2012,1985,27
Anna Nagar,1806,68,2,1,5,Normal Sale,Yes,Commercial,AllPub,No Access,RH,3,3,3,3,730011,197300,19730040,2008,1976,32
Adyar,1225,15,2,2,4,AdjLand,No,Others,AllPub,Paved,A,4,2,4,4,251805,33574,8393515,2010,1990,20
Adyar,1252,177,2,2,4,Family,Yes,House,NoSeWa,Paved,RH,2,5,3,3,321922,123088,9468300,2012,1972,40
Velachery,1913,143,3,2,5,Partial,Yes,Commercial,AllPub,No Access,RL,2,2,3,2,583629,268154,15773770,2004,1968,36
Velachery,1729,17,2,1,4,Normal Sale,Yes,Others,AllPub,Gravel,RH,3,4,2,3,379338,100413,11157010,2008,1975,33
T Nagar,1717,49,1,1,4,AdjLand,Yes,Others,AllPub,Paved,RH,2,4,3,3,366245,183123,14086360,2011,1996,15
Karapakkam,1091,49,1,1,3,Normal Sale,Yes,House,AllPub,Paved,I,2,4,2,3,315347,67095,6709500,2009,1997,12
KK Nagar,1629,111,2,1,4,Normal Sale,Yes,Commercial,AllPub,Paved,RM,4,2,2,3,574707,124261,15532620,2011,2000,11
KK Nagar,1724,107,2,1,4,Normal Sale,Yes,Commercial,NoSeWa,Paved,RH,4,4,4,4,503359,133242,14804680,2010,1996,14
Chrompet,1198,29,1,1,3,AdjLand,No,House,AllPub,Gravel,RH,4,3,2,3,304354,27669,9222850,2012,1993,19
Karapakkam,1329,109,1,1,3,Ab Normal,No,Others,AllPub,No Access,A,3,4,2,3,180122,107216,4288625,2011,1962,49
Anna Nagar,1634,160,1,1,4,Ab Normal,Yes,Commercial,AllPub,Gravel,RM,3,2,3,3,661033,351174,20657270,2011,1991,20
Karapakkam,979,27,1,1,3,Normal Sale,Yes,House,NoSeWa,Paved,RM,4,3,2,3,337636,157040,7852000,2010,1968,42
Velachery,1749,154,2,1,4,Family,No,Commercial,AllPub,Paved,C,3,4,3,3,398407,261455,12450220,2012,1971,41
Karapakkam,1446,79,2,2,4,Partial,No,Commercial,AllPub,Paved,RL,3,2,5,3,338535,157983,11284500,2011,1981,30
Chrompet,1034,85,1,1,3,Normal Sale,No,House,AllPub,Paved,RM,2,4,2,3,282835,45619,9123700,2009,1995,14
T Nagar,1722,166,1,1,4,Ab Normal,No,House,NoSeWa,Gravel,RH,3,3,3,3,324836,180465,12030980,2006,1992,14
Anna Nagar,1978,121,2,1,5,Normal Sale,No,Others,NoSeWa,No Access,RH,4,3,4,4,414278,106910,13363810,2010,1994,16
Velachery,1529,184,2,1,4,Ab Normal,Yes,Commercial,NoSeWa,No Access,A,2,3,3,3,421730,177571,11098160,2009,1971,38
Chrompet,1074,72,1,1,3,AdjLand,Yes,Commercial,AllPub,Paved,RH,4,4,3,4,421643,65882,13176350,2008,1975,33
KK Nagar,2341,192,4,2,6,Normal Sale,No,Commercial,NoSeWa,Gravel,RL,3,4,4,4,847638,313258,18426920,2008,1992,16
Chrompet,1229,10,2,1,4,Family,No,Commercial,AllPub,Paved,RH,4,4,4,4,349999,94231,13461500,2011,2001,10
Chrompet,1215,177,2,1,4,Ab Normal,Yes,Others,NoSeWa,Gravel,RH,3,4,4,3,268551,64452,10742050,2006,1996,10
Anna Nagar,1648,145,1,1,4,Ab Normal,No,Others,NoSeWa,Gravel,RL,4,4,4,4,485530,202304,13486940,2008,1998,10
T Nagar,1795,51,1,1,4,Family,No,Others,AllPub,Paved,RM,3,2,4,3,359336,221130,13820610,2013,1980,33
Velachery,1889,49,3,2,5,Partial,No,Commercial,NoSeWa,No Access,RL,4,4,4,4,445114,311580,14837130,2010,1981,29
KK Nagar,1527,171,2,1,4,Ab Normal,Yes,House,NoSeWa,Paved,RM,2,2,3,2,339897,175099,10299920,2012,1996,16
Chrompet,951,96,1,1,3,Normal Sale,No,Commercial,NoSeWa,No Access,RH,4,4,2,3,310964,30093,10031100,2014,1980,34
T Nagar,1993,62,2,1,5,Family,Yes,House,NoSeWa,Paved,RH,3,2,3,3,499629,216056,13503490,2012,2000,12
KK Nagar,2329,2,4,2,6,Partial,Yes,Commercial,AllPub,Gravel,RM,2,3,4,3,818342,359272,19959560,2009,2001,8
Adyar,1094,1,1,1,3,Family,Yes,Others,AllPub,No Access,C,4,4,3,3,246928,61732,7716505,2009,1982,27
T Nagar,1796,100,1,1,4,Family,Yes,House,NoSeWa,No Access,RM,2,4,2,2,477032,116035,12892760,2013,1980,33
Chrompet,946,45,1,1,3,Partial,No,House,AllPub,Paved,RL,2,5,3,3,234377,70313,7812550,2014,1993,21
Velachery,1697,26,2,1,4,Normal Sale,No,Others,AllPub,Gravel,RH,2,3,2,3,316343,143792,9586150,2012,1957,55
Anna Nagar,1813,186,2,1,5,Partial,No,Others,NoSeWa,Paved,RH,3,2,4,3,378073,73175,12195890,2010,1970,40
KK Nagar,1656,55,2,1,4,Normal Sale,Yes,House,NoSeWa,Gravel,RM,4,4,3,3,428273,208349,11574940,2008,2001,7
Anna Nagar,1738,37,1,1,4,Ab Normal,Yes,Commercial,AllPub,Paved,RM,2,3,3,3,741809,275529,21194540,2008,1996,12
Chrompet,1155,42,1,1,3,Partial,Yes,House,AllPub,No Access,RM,2,2,2,2,244550,166294,9782000,2007,2003,4
Chrompet,768,9,1,1,2,Partial,No,Others,NoSeWa,No Access,RL,3,4,5,4,185735,46434,6633410,2008,1977,31
Velachery,1818,125,3,2,5,Family,Yes,Others,NoSeWa,No Access,C,3,3,2,3,325427,154149,8563860,2011,1964,47
Adyar,1199,190,1,1,3,Ab Normal,No,Others,AllPub,Gravel,RH,3,2,4,4,395284,19764,9882100,2007,1987,20
Anna Nagar,1658,157,1,1,4,Partial,No,Commercial,AllPub,No Access,RM,2,2,2,2,652034,211470,17622540,2013,1971,42
KK Nagar,2034,18,3,2,5,Normal Sale,Yes,House,AllPub,Gravel,RM,3,4,3,3,641170,115411,12823400,2011,2001,10
Anna Nagar,1899,49,2,1,5,Partial,Yes,House,AllPub,No Access,RL,3,3,3,3,462916,175157,12511230,2007,1978,29
KK Nagar,1621,93,2,1,4,AdjLand,Yes,Commercial,NoSeWa,Gravel,RM,3,3,3,3,518332,210572,16197860,2008,1995,13
Velachery,1660,107,2,1,4,Family,Yes,Others,NoSeWa,Paved,C,2,3,5,3,344530,65181,9311620,2010,1999,11
Karapakkam,1037,130,1,1,3,Ab Normal,Yes,Commercial,AllPub,Gravel,A,4,3,2,3,266987,186082,8090500,2010,1960,50
Chrompet,868,171,1,1,3,Family,No,Others,NoSeWa,No Access,RL,2,4,4,3,189725,75890,7589010,2014,2007,7
Karapakkam,783,174,1,1,2,Partial,Yes,House,AllPub,Paved,RM,3,4,3,3,276968,113628,7101750,2010,1963,47
Velachery,1642,87,2,1,4,AdjLand,No,Commercial,NoSeWa,Gravel,RM,3,3,3,3,613616,107383,15340410,2007,1979,28
Anna Nagar,1618,158,1,1,4,Normal Sale,Yes,House,NoSeWa,No Access,RH,4,4,2,3,287048,88322,11040310,2008,1980,28
Velachery,1645,186,2,1,4,Ab Normal,No,House,NoSeWa,Gravel,RL,3,3,2,3,325060,74299,9287430,2006,1962,44
Karapakkam,1150,103,1,1,3,Family,No,Others,NoSeWa,No Access,C,2,4,4,3,219311,56103,5100250,2011,1991,20
KK Nagar,2186,18,3,2,5,Ab Normal,Yes,Others,AllPub,Gravel,RM,3,4,4,4,478999,197235,14088220,2012,1997,15
Velachery,1911,162,3,2,5,Family,No,Commercial,NoSeWa,Gravel,RL,2,4,2,3,467076,249107,15569210,2004,1951,53
Chrompet,1058,19,1,1,3,Partial,Yes,House,NoSeWa,No Access,RH,2,4,4,3,233915,120730,7545650,2006,1971,35
T Nagar,1720,80,1,1,4,Family,Yes,House,AllPub,No Access,RL,4,2,3,3,387948,109110,12123360,2014,1981,33
KK Nagar,1719,96,2,1,4,Partial,Yes,House,NoSeWa,Paved,RM,2,2,2,2,339917,95602,10622400,2009,1999,10
Chrompet,1191,102,1,1,3,Partial,Yes,Commercial,AllPub,Paved,RH,4,5,3,4,333890,93489,13355600,2012,1972,40
Anna Nagar,1903,183,2,1,5,Family,No,Others,NoSeWa,No Access,RL,4,3,3,3,474897,171491,13191580,2006,1979,27
Chrompet,1039,28,1,1,3,Ab Normal,Yes,House,AllPub,No Access,RL,4,4,2,3,218593,69950,8743700,2007,1981,26
Adyar,816,21,1,1,3,Ab Normal,No,House,AllPub,Gravel,A,2,4,2,2,229692,17227,5742295,2010,1997,13
T Nagar,1848,113,2,1,5,Normal Sale,Yes,Commercial,NoSeWa,Paved,RM,3,4,2,3,770779,374378,22022260,2010,1987,23
Adyar,931,195,1,1,3,Family,No,Commercial,AllPub,No Access,RH,3,3,2,2,382227,21235,10617420,2011,2003,8
KK Nagar,2062,157,3,2,5,Normal Sale,Yes,House,AllPub,Paved,RH,3,4,2,3,425412,229068,10908000,2008,1988,20
Velachery,1894,14,3,2,5,Family,Yes,Commercial,NoSeWa,No Access,A,2,3,4,3,436488,231884,13640240,2010,1984,26
Karapakkam,1474,144,2,2,4,Family,No,Others,NoSeWa,Gravel,I,2,3,2,2,268643,69080,7675500,2009,1984,25
Karapakkam,968,186,1,1,3,Partial,No,House,NoSeWa,No Access,RL,2,3,3,3,290050,52209,5801000,2010,1998,12
T Nagar,1827,73,2,1,5,Normal Sale,No,House,NoSeWa,Paved,RM,2,4,3,3,450795,212139,13258680,2008,1994,14
Chrompet,709,48,1,1,2,Normal Sale,No,House,NoSeWa,Paved,RM,3,4,3,3,237970,122823,7676450,2013,1998,15
Anna Nagar,1983,73,2,1,5,Ab Normal,Yes,Others,NoSeWa,Paved,RH,2,4,3,3,379689,262862,14603420,2013,1984,29
KK Nagar,1464,67,2,1,4,Partial,No,Commercial,AllPub,Paved,RH,4,2,2,2,456367,96077,12009660,2008,1995,13
Adyar,1290,108,2,2,4,AdjLand,No,Others,AllPub,Paved,A,3,3,4,3,264914,85456,8545605,2009,1982,27
Karapakkam,558,129,1,1,2,Family,Yes,Commercial,AllPub,Gravel,RL,3,5,2,3,336196,156370,7818500,2011,1969,42
KK Nagar,1863,175,3,2,5,AdjLand,No,Others,AllPub,Paved,RM,2,3,4,3,441596,155155,11935020,2011,2003,8
Adyar,1199,39,1,1,3,Ab Normal,Yes,Commercial,AllPub,No Access,C,4,3,2,3,502763,50276,12569065,2007,1976,31
T Nagar,1631,35,1,1,4,Normal Sale,Yes,Commercial,AllPub,Gravel,RH,2,2,3,2,649092,305455,19090950,2007,1967,40
Velachery,1576,169,2,1,4,Family,Yes,Others,NoSeWa,No Access,A,4,3,4,4,309605,69661,7740130,2005,1981,24
Chrompet,1148,82,1,1,3,Ab Normal,Yes,Others,AllPub,Gravel,RM,3,2,2,2,321168,177196,11074760,2013,1985,28
Anna Nagar,1792,62,1,1,4,Normal Sale,Yes,Commercial,AllPub,Paved,RL,3,3,2,3,708009,229062,20823790,2010,2003,7
T Nagar,1808,154,2,1,5,Family,No,House,NoSeWa,Gravel,RL,2,3,3,3,348123,116041,12893440,2014,1997,17
T Nagar,1877,131,2,1,5,Ab Normal,No,House,AllPub,Gravel,RL,3,3,2,3,529436,190054,13575290,2013,2001,12
Velachery,1760,108,2,1,4,AdjLand,Yes,Others,NoSeWa,Paved,RM,2,4,3,3,476702,188172,12544800,2009,2004,5
Chrompet,966,163,1,1,3,Partial,No,Commercial,NoSeWa,Paved,RH,2,3,2,2,292841,135962,10458600,2011,1975,36
Karapakkam,979,85,1,1,3,AdjLand,Yes,Others,NoSeWa,Gravel,RH,2,2,3,2,324980,154753,7737625,2011,1971,40
Chrompet,1044,166,1,1,3,Family,No,House,AllPub,Paved,RL,4,4,2,3,232087,146129,8595800,2008,2000,8
Adyar,1180,69,1,1,3,Family,No,Commercial,AllPub,Paved,RL,4,3,4,4,495815,28332,14166140,2009,1993,16
Chrompet,1095,79,1,1,3,Partial,Yes,Others,NoSeWa,Gravel,RL,3,4,5,4,326709,132725,10209650,2013,1979,34
Chrompet,1202,149,2,1,4,AdjLand,No,Others,AllPub,No Access,RM,4,2,4,3,292010,73003,10428940,2007,2003,4
Adyar,691,77,1,1,2,Normal Sale,Yes,Commercial,AllPub,Gravel,I,3,3,3,3,379506,129831,9987005,2009,1982,27
Karapakkam,1313,35,1,1,3,Ab Normal,No,Commercial,AllPub,No Access,RM,3,2,4,3,453822,137202,10554000,2010,1986,24
Adyar,625,168,1,1,2,AdjLand,No,Commercial,AllPub,Paved,RH,3,3,4,3,262173,131087,8739100,2007,1967,40
KK Nagar,1933,186,3,2,5,Partial,No,Commercial,NoSeWa,Gravel,RL,3,2,3,3,572732,247668,15479240,2008,1986,22
Karapakkam,681,198,1,1,2,Family,Yes,House,AllPub,No Access,RM,4,3,2,3,321738,64348,6434750,2009,1966,43
Karapakkam,636,35,1,1,2,Ab Normal,No,Others,AllPub,No Access,RH,2,4,3,3,141203,98842,4706750,2011,1984,27
Anna Nagar,1718,100,1,1,4,AdjLand,Yes,House,AllPub,Gravel,RM,3,3,4,3,504678,230710,14419380,2014,2000,14
Karapakkam,1086,134,1,1,3,Normal Sale,Yes,House,NoSeWa,No Access,RL,4,2,3,3,262153,144874,6898750,2010,1965,45
Chrompet,845,65,1,1,3,Partial,No,Commercial,NoSeWa,No Access,RL,3,3,3,3,322608,110897,10081500,2014,2004,10
Anna Nagar,1774,158,1,1,4,Family,Yes,Others,NoSeWa,No Access,RM,4,3,3,4,421391,210696,14046370,2008,1978,30
Anna Nagar,1730,129,1,1,4,Partial,No,House,AllPub,Gravel,RL,3,4,4,4,472693,218166,12120330,2010,1976,34
Chrompet,1180,18,1,1,3,AdjLand,No,House,NoSeWa,Paved,RL,4,4,2,4,294936,116187,8937450,2007,1972,35
Velachery,1607,177,2,1,4,Normal Sale,No,Commercial,AllPub,Paved,RL,3,3,3,3,550357,110071,13758930,2006,1982,24
Adyar,1182,193,1,1,3,Partial,No,Commercial,NoSeWa,No Access,RL,4,2,2,3,488617,66029,13205875,2011,2006,5
T Nagar,1539,100,1,1,4,Family,No,Commercial,NoSeWa,Gravel,RH,2,5,3,3,426539,255923,17061540,2008,1976,32
Karapakkam,1636,5,2,2,4,Partial,No,Others,AllPub,No Access,A,2,4,2,3,247489,129369,5624750,2011,1976,35
Karapakkam,1088,178,1,1,3,Family,No,Others,NoSeWa,Paved,RH,4,2,4,3,305664,159200,6368000,2011,1979,32
Karapakkam,1229,78,1,1,3,Partial,Yes,House,AllPub,Gravel,RH,2,2,2,2,376917,144351,8019500,2010,1990,20
Adyar,848,125,1,1,3,Ab Normal,No,Others,NoSeWa,Gravel,A,3,4,4,4,264736,19855,6618400,2006,1986,20
Chrompet,1209,148,2,1,4,Family,Yes,Commercial,AllPub,Gravel,RH,3,4,4,4,476120,148788,14878750,2007,2002,5
KK Nagar,2041,85,3,2,5,Normal Sale,No,House,NoSeWa,Paved,RH,2,5,2,3,346506,105877,9625180,2008,1989,19
Adyar,618,22,1,1,2,Ab Normal,No,Others,NoSeWa,Gravel,A,4,3,4,4,177488,16639,5546495,2009,1996,13
